日文,繁體中文
すみっコぐらし,角落小夥伴
ディズニー,迪士尼
ペルソナ,女神異聞錄
おしりたんてい,屁屁偵探
鬼滅の刃,鬼滅之刃
サンリオ,三麗鷗
ポケットモンスター,寶可夢
プーさん,小熊維尼
スヌーピー,史努比
初音ミク,初音未來
ワンピース,ONE PIECE
カービィ,星之卡比
シナモロール,大耳狗
トミカ,Tomica
僕のヒーローアカデミア,我的英雄學院
ドラえもん,哆啦A夢
ソードアート・オンライン,刀劍神域
Q posket,Q posket
レム,雷姆
豆しば三兄弟,豆柴三兄弟
カイリュー,拉普拉斯
ミッフィー,米菲
ヒプノシスマイク,催眠麥克風
ブランケット,毛毯
マイメロディ,美樂蒂
コウペンちゃん,正能量企鵝
ゼニガメ,傑尼龜
ドラゴンクエスト,勇者鬥惡龍
リュック,背包
ミニオン,小小兵
MARVEL,漫威
クッション,抱枕
クレヨンしんちゃん,蠟筆小新
助六の日常,倉鼠助六的日常
ジブリ,吉卜力
ふなっしー,船梨精
たるしば,TARUSHIBA
ヒトカゲ,小火龍
セーラームーン,美少女戰士
プリキュア,光之美少女
あんさんぶるスターズ！,偶像夢幻祭
ポムポムプリン,布丁狗
いーすとけん,麵包胖胖犬
ラブライブ！,Love Live!
アナと雪の女王,冰雪奇緣
トイストーリー,玩具總動員
ハリー・ポッター,哈利波特
ポチャッコ,帕恰狗
ぽてうさろっぴー,垂耳兔
名探偵コナン,名偵探柯南
ピカチュウ,皮卡丘
ディズニープリンセス,迪士尼公主
忠犬もちしば,忠犬麻薯柴犬
たれぱんだ,趴趴熊貓
チコちゃんに叱られる！,知子醬開罵！
アイドリッシュセブン,IDOLiSH7-偶像星願-
ご注文はうさぎですか,請問您今天要來點兔子嗎？
BanG Dream! ,BanG Dream!
"バンドリ！　ガールズバンドパーティ！
BanG Dream! 　ガールズバンドパーティ！",BanG Dream! 少女樂團派對！
おしゅし,小小壽司
キズナアイ,絆愛
仮面ライダー,假面騎士
Re:ゼロから始める異世界生活,Re:從零開始的異世界生活
ミッキー,米奇
ハローキティ,Hello Kitty
ぐでたま,蛋黃哥
となりの宇宙人,隔壁的外星人
くたいぬビリー,疲憊狗狗比利
ひげまんじゅう,鬍子饅頭貓
ラスカル,小浣熊
ぞくぞく恐竜時代,恐龍時代
毎日でぶどり,Everyday DEBUDORI
五等分の花嫁,五等分的新娘
サメーズ,鯊魚哥
私、能力は平均値でって言ったよね！,我不是說了能力要平均值嗎？
ライフル・イズ・ビューティフル,美妙射擊部
どこでもいっしょ,隨身玩伴 
犬と猫どっちも飼ってると毎日たのしい,養貓養狗開心每日
コッペくん,怪熊君
Ｆａｔｅ／Ｇｒａｎｄ Ｏｒｄｅｒ －絶対魔獣戦線バビロニア－,Fate/Grand Order-絕對魔獸戰線巴比倫尼亞-
ヨッシースタンプ,YOSISTAMP
パウ・パトロール,汪汪隊立大功
カードキャプターさくら,庫洛魔法使
チュンまんが,胖啾漫畫
ファイナルファンタジー,最終幻想
艦隊これくしょん－艦これー,艦隊Collection -艦Colle-
キテレツ大百科,奇天烈大百科
ピングー,企鵝家族
チャックスＧＰ いたずらぐまのグル～ミ～,CHAX GP 暴力熊Gloomy~
ルーニー・テューンズ,樂一通
ロード・エルメロイⅡ世の事件簿 －魔眼蒐集列車,艾梅洛閣下II世事件簿 Grace note-
ダンベル何キロ持てる？,流汗吧！健身少女
グレムリン ギズモ,小精靈 Gizmo
ズートピア,動物方城市
２分の１の魔法,1/2的魔法
とんすけ＆ミス・バニー,桑普兔&邦妮兔
ワンワンとうーたん♪,汪汪和烏糖♪
ラプンツェル,魔髮奇緣
つぶらな瞳の水族館,圓圓大眼水族館
えほんのわんこ,繪本之犬
毛玉犬,毛球狗
お酒好きが集まるお店,名酒專賣店
モンスターストライク,怪物彈珠
文豪ストレイドッグス,文豪野犬
ＺＯＩＤＳ ゾイドワイルド,ZOIDS 機獸新世紀ZOIDS WILD
かぐや様は告らせたい,輝夜姬想讓人告白
,
ゆるうさぎ,YURUUSAG
カピバラさん,水豚君
シャクレルプラネット,戽斗星球
かえるのピクルス,微笑蛙pickles
ぬーどるストッパー,壓杯面
ともだちはくま,我的朋友是熊
自分ツッコミくま,自我吐槽熊
,
織田シナモン信長,織田肉桂信長
ねむネコ,瞌睡貓
１００万円貯まるカウントバンク,百萬日元儲蓄罐
アクリル,壓克力
ガンダム,GUNDAM
身勝手の極意,自在極意功
うちタマ？！うちのタマ知りませんか？,家有圓圓？！ ～我家的圓圓妳知道嗎～
恋する小惑星,戀愛中的小行星
からめる,Karameru
ちみたん,Chimitan
１００日後に死ぬワニ,100天後就會死的鱷魚
仮面ライダーゼロワン,假面騎士ZERO-ONE
みいつけた！,找到啦！
スキウサギ,喜愛兔
リトルツインスターズ,雙星仙子
ハムちゃんず,哈姆好友
こんなこいるかな,調皮怪小孩
マシュマロアニマル,滾滾小動物
ねむねむアニマルズ,甜夢小動物
